rumah,alamat,harga,temppat_tidur,luas_bangunan,luas_lahan
Rumah Cantik Siap Huni,"Sleman, Sleman",Rp 1.250.000.000,3,100,125
Dijual Rumah Second Dalam Perumahan,"Banguntapan, Bantul",Rp 450.000.000,2,60,100
"Malang Rejo Asri siap bangun ,,harga bisa nego","Ngemplak, Sleman",Rp 450.000.000,2,36,64
CLUSTER MURAH DI KREMBANGAN PANJATAN DEKAT BANDARA YIA,"Panjatan, Kulon Progo",Rp 185.000.000,2,30,61
RUMAH MODERN HARGA TERMURAH BISA KPR DI PATUK GUNUNGKIDUL,"Patuk, Gunung Kidul",Rp 215.000.000,2,36,60
Rumah 2 Lantai Utara Jln Kusuma Negara Tengah Kota Jogja,"Pakualaman, Yogyakarta",Rp 2.900.000.000,7,398,300
Rumah 2 Lantai dekat kampus Sanata Darma Maguwo Free balik nama,"Maguwoharjo, Sleman",Rp 875.000.000,3,80,120
Rumah Murah Minimalis di Sedayu Jogya,"Sedayu, Bantul",Rp 498.000.000,2,45,100
"Rumah 2 Lantai termurah di Maguwo, tipe 80 LT 120 m, Kamar tidur 3","Maguwoharjo, Sleman",Rp 875.000.000,3,80,120
Promo 270 JT Taman Hutama Sedayu,"Sedayu, Bantul",Rp 270.000.000,2,36,71
Rumah Mewah Hook Dalam Perumahan,"Godean, Sleman",Rp 1.500.000.000,5,250,144
Rumah Dalam Perumahan Pondok Permai di Tamantirto Kasihan Yogyakarta,"Kasihan, Bantul",Rp 835.000.000,2,70,111
Dijual Rumah 500 m dari Jalan Sisingamangaraja,"Mergangsan, Yogyakarta",Rp 2.500.000.000,10,600,696
RUMAH MEWAH 2 LANTAI DI PUSAT KOTA JOGJA DEKAT STASIUN LEMPUYANGAN,"Gamping, Sleman",Rp 1.238.000.000,3,80,123
Rumah Asri Minimalis dan Nyaman,"Sedayu, Bantul",Rp 411.000.000,2,36,100
Dijual Rumah 2 lantai di jalan raya sambiroto,"Maguwoharjo, Sleman",Rp 835.000.000,4,125,115
"Rumah Plus Paviliun di Kotagede Yogyakarta, Timur Xt Square","Kotagede, Yogyakarta",Rp 650.000.000,4,100,130
RUMAH KLASIK LOKASI STARTEGIS DI GODEAN SLEMAN,"Godean, Sleman",Rp 1.200.000.000,3,92,152
